,zip_code
8054.0,424
2879.0,423
8103.0,423
8215.0,422
19317.0,422
7093.0,422
10965.0,422
12790.0,422
15003.0,422
6812.0,421
20637.0,421
20695.0,420
16701.0,420
6424.0,420
19607.0,420
19966.0,420
22202.0,420
10538.0,420
2465.0,419
20191.0,418
7079.0,418
15314.0,418
7740.0,417
14611.0,417
15333.0,417
8861.0,417
6320.0,416
14094.0,416
1826.0,416
13035.0,416
15902.0,415
14613.0,414
7016.0,414
15233.0,414
7821.0,414
2906.0,414
13346.0,414
18508.0,413
18431.0,413
14207.0,413
2888.0,413
19962.0,412
10457.0,411
19342.0,411
10549.0,411
10028.0,410
11226.0,410
12754.0,410
6492.0,410
10516.0,410
18052.0,410
15714.0,410
17315.0,410
725.0,409
6239.0,409
8012.0,409
8205.0,409
15061.0,408
12526.0,407
8876.0,407
6062.0,407
11557.0,407
10566.0,406
17517.0,405
10024.0,405
7646.0,405
19809.0,405
19734.0,405
2134.0,404
13492.0,403
20112.0,403
15672.0,403
25404.0,402
1062.0,401
12566.0,401
2481.0,401
19810.0,400
22960.0,400
15005.0,400
13732.0,400
11747.0,399
966.0,399
20105.0,399
20110.0,397
8079.0,397
14210.0,396
2780.0,396
14048.0,396
2852.0,396
20616.0,395
11010.0,395
13753.0,395
25414.0,395
11102.0,395
7940.0,395
11963.0,394
22025.0,393
7008.0,393
8008.0,393
21050.0,393
6260.0,393
8835.0,393
8820.0,392
17844.0,392
25419.0,391
12832.0,391
2740.0,390
2152.0,389
11220.0,389
959.0,389
8053.0,388
19006.0,388
8611.0,386
21047.0,386
6385.0,386
11218.0,386
2119.0,386
7031.0,386
7753.0,386
1501.0,386
6355.0,385
15135.0,385
5735.0,385
14905.0,385
17540.0,385
17110.0,384
8901.0,384
18848.0,383
19801.0,383
17545.0,383
1570.0,383
8075.0,382
17961.0,382
7627.0,382
8110.0,382
7930.0,381
14534.0,380
6883.0,380
7503.0,380
11030.0,379
1089.0,379
7208.0,379
15112.0,379
1013.0,379
1821.0,379
6037.0,378
6473.0,378
19046.0,377
8840.0,377
6119.0,377
15931.0,377
18940.0,376
8098.0,375
2139.0,375
12542.0,375
15066.0,375
20164.0,374
10968.0,374
11701.0,374
10471.0,374
11946.0,374
11763.0,374
21532.0,374
17552.0,373
1033.0,372
10459.0,372
2493.0,372
14218.0,372
16686.0,372
6281.0,371
14227.0,371
2896.0,371
8050.0,370
21085.0,370
8805.0,369
12586.0,369
13215.0,369
10801.0,368
10002.0,368
6514.0,368
16148.0,368
6811.0,368
1803.0,367
20132.0,367
16602.0,367
14564.0,366
3104.0,366
6516.0,366
1880.0,366
11784.0,365
20794.0,365
7524.0,365
12518.0,365
11776.0,365
1056.0,364
19352.0,364
1453.0,364
11216.0,363
2540.0,363
10804.0,362
7010.0,362
21919.0,362
12491.0,362
12758.0,361
18657.0,361
10989.0,361
11735.0,361
6820.0,361
7419.0,361
1886.0,360
12158.0,360
21239.0,360
1701.0,359
12953.0,359
13207.0,359
11021.0,359
7657.0,359
19127.0,359
12446.0,358
10589.0,358
10573.0,358
7885.0,358
20111.0,358
7624.0,357
11937.0,357
14226.0,357
8021.0,357
20770.0,357
15024.0,357
12043.0,356
1602.0,356
1603.0,356
10533.0,356
8028.0,356
14213.0,355
43920.0,355
14895.0,355
14217.0,355
12159.0,354
11725.0,354
14211.0,354
10704.0,354
2446.0,354
6437.0,354
8691.0,353
22033.0,353
1610.0,353
14626.0,353
6606.0,352
8530.0,352
12428.0,352
8109.0,352
10918.0,352
12143.0,352
18847.0,351
17015.0,351
21090.0,350
19390.0,350
8204.0,350
18013.0,349
19602.0,349
10952.0,349
7656.0,349
19137.0,348
1075.0,348
21040.0,348
17103.0,347
11223.0,346
18067.0,346
15774.0,346
5363.0,345
11768.0,345
21054.0,345
19806.0,345
17976.0,345
15717.0,345
4103.0,344
12569.0,343
13326.0,343
2459.0,343
19010.0,343
17870.0,342
13203.0,342
6706.0,342
19526.0,341
2907.0,341
2056.0,341
10705.0,341
7302.0,341
19036.0,340
14606.0,340
19040.0,340
13078.0,340
8550.0,339
2420.0,339
44515.0,339
14120.0,339
12549.0,339
12090.0,339
2453.0,338
13413.0,338
18235.0,338
7620.0,338
976.0,337
11106.0,336
18702.0,336
1027.0,336
14004.0,336
2809.0,335
8402.0,335
17320.0,335
8062.0,335
21769.0,334
7642.0,334
18049.0,334
6405.0,334
21811.0,333
1752.0,333
12204.0,332
12845.0,332
8107.0,332
14043.0,332
20712.0,331
11702.0,331
14450.0,331
6902.0,330
6234.0,330
3038.0,330
8037.0,329
17362.0,329
21108.0,329
6415.0,329
1906.0,328
1606.0,328
7974.0,328
8080.0,328
19311.0,328
2302.0,328
12307.0,327
19154.0,327
14063.0,327
17327.0,327
16353.0,326
4530.0,326
6710.0,326
15110.0,326
16025.0,325
7801.0,325
1007.0,324
14006.0,324
11374.0,324
7950.0,324
10302.0,324
20764.0,323
8824.0,323
18017.0,323
692.0,323
19001.0,323
8872.0,323
17566.0,323
15438.0,323
19086.0,323
5091.0,322
19505.0,322
12451.0,322
13224.0,322
21541.0,322
1740.0,322
19114.0,321
15144.0,321
19610.0,321
10591.0,321
22408.0,320
7603.0,320
12803.0,320
7922.0,320
11427.0,320
19096.0,320
12983.0,320
18018.0,319
12816.0,319
11780.0,319
3087.0,319
1824.0,317
19938.0,317
11230.0,316
14810.0,316
16506.0,316
8318.0,316
22405.0,316
20141.0,316
7512.0,316
2632.0,316
612.0,316
18426.0,315
15474.0,315
19462.0,315
11717.0,315
10570.0,315
16002.0,314
12513.0,314
7660.0,314
11518.0,314
21158.0,314
22968.0,314
18062.0,313
2871.0,313
18058.0,313
11798.0,313
18509.0,313
7045.0,313
15480.0,312
11795.0,312
1852.0,312
2882.0,312
18328.0,312
6416.0,312
7755.0,312
17851.0,312
7401.0,312
20634.0,311
18435.0,311
8033.0,311
8322.0,311
15342.0,310
11706.0,310
20640.0,310
7067.0,309
25425.0,309
6443.0,309
20732.0,309
7748.0,309
8005.0,308
5143.0,308
7094.0,308
6374.0,308
1462.0,307
11783.0,307
2914.0,306
10927.0,306
2138.0,306
12839.0,306
6340.0,305
20187.0,305
2601.0,305
8558.0,305
7081.0,305
13039.0,305
10530.0,304
22508.0,304
20170.0,304
4240.0,304
20872.0,304
6513.0,303
8830.0,303
22044.0,303
1550.0,303
17512.0,303
1331.0,303
2664.0,302
13612.0,302
1749.0,302
10463.0,302
5851.0,302
8027.0,301
18976.0,301
22473.0,301
12009.0,301
7924.0,300
3103.0,300
18334.0,299
18326.0,299
10280.0,298
17078.0,298
12946.0,297
21209.0,297
3076.0,296
19003.0,296
7442.0,296
14608.0,296
1950.0,296
11714.0,296
693.0,296
13460.0,296
11942.0,296
11901.0,296
12485.0,295
17361.0,295
11738.0,295
11692.0,295
6460.0,295
6810.0,295
6905.0,295
7073.0,295
12423.0,295
2038.0,295
7054.0,294
15857.0,294
12764.0,294
8884.0,293
44511.0,293
1801.0,293
7095.0,293
6120.0,293
8534.0,293
14150.0,293
10603.0,293
7701.0,292
2115.0,292
19301.0,292
3857.0,291
21032.0,291
11225.0,291
2421.0,291
11731.0,291
7069.0,291
5661.0,291
11961.0,291
15728.0,290
16870.0,290
15479.0,290
21128.0,289
19707.0,288
7650.0,288
5001.0,288
13669.0,288
17011.0,288
19958.0,288
6786.0,288
11501.0,288
18353.0,288
15478.0,287
15697.0,287
13152.0,286
18330.0,286
7874.0,286
2760.0,286
19090.0,285
10523.0,285
7853.0,285
7114.0,285
12188.0,285
7751.0,284
8108.0,284
10805.0,284
18424.0,284
7422.0,284
20833.0,284
17224.0,284
2885.0,284
8251.0,283
10524.0,283
19963.0,283
18610.0,283
8904.0,283
2111.0,283
1028.0,283
1970.0,283
20678.0,282
1778.0,282
11694.0,282
12580.0,281
6511.0,281
1605.0,281
10580.0,281
2532.0,280
7202.0,280
2090.0,280
22311.0,280
1077.0,280
19508.0,280
3766.0,280
18505.0,279
19126.0,279
3801.0,279
7009.0,279
11372.0,278
44505.0,278
11741.0,278
11575.0,278
25427.0,278
15909.0,278
680.0,278
22642.0,278
2476.0,278
7607.0,278
21029.0,277
19115.0,277
1440.0,277
19072.0,277
19973.0,277
7849.0,277
22973.0,276
12125.0,276
44004.0,276
2045.0,276
5403.0,275
17948.0,275
20120.0,275
2445.0,275
16651.0,275
11231.0,275
16504.0,275
2563.0,275
44406.0,274
820.0,274
16508.0,274
2653.0,274
8648.0,274
17557.0,273
6237.0,273
44502.0,273
12106.0,273
10924.0,273
6517.0,272
6016.0,272
2472.0,271
3110.0,271
6052.0,271
14886.0,271
11733.0,270
21795.0,270
18347.0,270
6333.0,270
17104.0,270
1082.0,270
13783.0,270
